NewQuestion,MC,
QuestionText,"Which SQL command defines a new table's structure?",
Option,0,"UPDATE",
Option,100,"CREATE TABLE",
Option,0,"INSERT",
Option,0,"ALTER TABLE",

NewQuestion,MC,
QuestionText,"What is the primary key's main purpose?",
Option,0,"Speed query performance",
Option,100,"Ensure each row is uniquely identifiable",
Option,0,"Link tables together automatically",
Option,0,"Allow NULL values",

NewQuestion,MC,
QuestionText,"Which constraint prevents duplicate email addresses in a table?",
Option,0,"CHECK",
Option,100,"UNIQUE",
Option,0,"FOREIGN KEY",
Option,0,"DEFAULT",

NewQuestion,MC,
QuestionText,"In a relational schema, what ensures referential integrity?",
Option,0,"PRIMARY KEY",
Option,0,"UNIQUE",
Option,100,"FOREIGN KEY",
Option,0,"NOT NULL",

NewQuestion,MC,
QuestionText,"Which SQL clause filters rows after aggregation?",
Option,0,"WHERE",
Option,100,"HAVING",
Option,0,"ORDER BY",
Option,0,"GROUP BY",

NewQuestion,MC,
QuestionText,"What is the result of a LEFT JOIN?",
Option,0,"Only matching rows from both tables",
Option,0,"Only rows from the right table",
Option,100,"All rows from the left table plus matches from the right",
Option,0,"Rows that exist in both tables only",

NewQuestion,MC,
QuestionText,"Which statement removes a table and its structure?",
Option,100,"DROP TABLE",
Option,0,"DELETE FROM",
Option,0,"TRUNCATE",
Option,0,"ALTER TABLE DROP COLUMN",

NewQuestion,MC,
QuestionText,"What does "normalization" primarily aim to reduce?",
Option,0,"Queries",
Option,100,"Data redundancy",
Option,0,"Indexes",
Option,0,"Keys",

NewQuestion,MC,
QuestionText,"Which SQL function returns the total number of rows?",
Option,100,"COUNT()",
Option,0,"AVG()",
Option,0,"SUM()",
Option,0,"MAX()",

NewQuestion,MC,
QuestionText,"In PostgreSQL, what does a CHECK constraint do?",
Option,100,"Restricts column values to specific conditions",
Option,0,"Ensures values are unique",
Option,0,"Defines foreign-key behavior",
Option,0,"Sorts data during SELECT",

NewQuestion,MC,
QuestionText,"Which keyword combines query results and removes duplicates?",
Option,0,"UNION ALL",
Option,100,"UNION",
Option,0,"INTERSECT",
Option,0,"EXCEPT",

NewQuestion,MC,
QuestionText,"What is the purpose of an alias in SQL?",
Option,0,"Rename a table permanently",
Option,100,"Give a temporary name to a column or table",
Option,0,"Create a new index",
Option,0,"Store data in memory",

NewQuestion,MC,
QuestionText,"Which command displays query execution details in PostgreSQL?",
Option,0,"ANALYZE PLAN",
Option,100,"EXPLAIN ANALYZE",
Option,0,"TRACE PLAN",
Option,0,"SHOW QUERY",

NewQuestion,MC,
QuestionText,"Which type of join returns rows that match on both sides only?",
Option,100,"INNER JOIN",
Option,0,"LEFT JOIN",
Option,0,"RIGHT JOIN",
Option,0,"FULL JOIN",

NewQuestion,MC,
QuestionText,"Which clause orders query results alphabetically by event name?",
Option,0,"WHERE event_name",
Option,100,"ORDER BY event_name ASC",
Option,0,"SORT BY event_name DESC",
Option,0,"GROUP BY event_name",

NewQuestion,MC,
QuestionText,"What is the difference between a view and a table?",
Option,0,"A view stores physical data",
Option,0,"A table is temporary",
Option,100,"A view is a saved query that doesn't store data itself",
Option,0,"They are identical",

NewQuestion,MC,
QuestionText,"Which SQL keyword ensures no NULL values in a column?",
Option,100,"NOT NULL",
Option,0,"UNIQUE",
Option,0,"CHECK",
Option,0,"DEFAULT",

NewQuestion,MC,
QuestionText,"What command permanently saves all changes in a transaction?",
Option,0,"ROLLBACK",
Option,0,"SAVEPOINT",
Option,100,"COMMIT",
Option,0,"BEGIN",

NewQuestion,MC,
QuestionText,"In a Dockerized PostgreSQL environment, which tool lets you access SQL directly?",
Option,0,"pgAdmin browser only",
Option,100,"psql shell inside the container",
Option,0,"Docker Dashboard",
Option,0,"YAML configuration",

NewQuestion,MC,
QuestionText,"What's the purpose of using a FOREIGN KEY … ON DELETE CASCADE rule?",
Option,0,"Prevents deletes",
Option,0,"Copies data to another table",
Option,100,"Automatically removes dependent rows when a parent is deleted",
