NewQuestion,MC,
QuestionText,"What is the main purpose of distributing database workloads across multiple tiers?",
Option,0,"To eliminate the need for indexes",
Option,100,"To separate concerns between application logic and database processing",
Option,0,"To increase the size of transaction logs",
Option,0,"To disable caching for consistency",

NewQuestion,MC,
QuestionText,"What is connection pooling used for in an N-tier application?",
Option,100,"To reuse database connections efficiently and reduce overhead",
Option,0,"To replicate schema changes between databases",
Option,0,"To store transaction logs in memory",
Option,0,"To enforce unique constraints at the application level",

NewQuestion,MC,
QuestionText,"Which of the following best describes database replication?",
Option,0,"Compressing data for faster queries",
Option,100,"Maintaining identical copies of data across multiple servers",
Option,0,"Using JSON instead of relational tables",
Option,0,"Converting stored procedures into views",

NewQuestion,MC,
QuestionText,"Why is it important to analyze execution plans again after refactoring queries?",
Option,0,"Because refactoring can change the logical structure and affect performance",
Option,0,"Because indexes automatically drop after refactoring",
Option,100,"Because query rewrite might alter optimizer choices and execution paths",
Option,0,"Because refactoring disables autovacuum",

NewQuestion,MC,
QuestionText,"What is the main goal of refactoring stored procedures?",
Option,0,"To convert them into triggers",
Option,100,"To improve readability, maintainability, and efficiency without changing behavior",
Option,0,"To rewrite all code in Python",
Option,0,"To remove exception handling for speed",

NewQuestion,MC,
QuestionText,"In a distributed database design, what is a potential drawback of splitting data across nodes (sharding)?",
Option,100,"Increased complexity of transactions and consistency management",
Option,0,"Reduced scalability of reads",
Option,0,"Automatic index creation is disabled",
Option,0,"Schema constraints are ignored by the optimizer",

NewQuestion,MC,
QuestionText,"What is the purpose of using a read replica in PostgreSQL?",
Option,0,"To process bulk deletes automatically",
Option,100,"To offload read queries from the primary server",
Option,0,"To ensure exclusive locks on all read operations",
Option,0,"To back up only schema definitions",

NewQuestion,MC,
QuestionText,"During final showcase validation, why should EXPLAIN ANALYZE be re-run on production-like data?",
Option,100,"Because query cost and plan selection depend on data volume and distribution",
Option,0,"Because it automatically adds indexes",
Option,0,"Because it resets statistics",
Option,0,"Because it drops slow queries",

NewQuestion,MC,
QuestionText,"Which of the following best describes code comprehension in the refactoring phase?",
Option,0,"Adding more procedural nesting to increase security",
Option,100,"Understanding existing routines to safely modify or optimize them",
Option,0,"Translating all SQL code into comments",
Option,0,"Removing all audit triggers for testing",

NewQuestion,MC,
QuestionText,"In the context of showcasing a transactional system, what is the most important demonstration outcome?",
Option,0,"Showing that the GUI runs on Django",
Option,100,"Proving that transactions, audits, and performance hold under concurrent load",
Option,0,"Disabling all foreign keys for faster results",
Option,0,"Using hardcoded test data to simplify the demo",

