NewQuestion,MC,
QuestionText,"In PostgreSQL, what is the main purpose of using a transaction block?",
Option,0,"To improve query speed through indexing",
Option,100,"To ensure a group of SQL statements execute atomically",
Option,0,"To manage data types across multiple tables",
Option,0,"To automatically generate audit logs",

NewQuestion,MC,
QuestionText,"Which SQL keyword combination marks the beginning and end of a transaction block?",
Option,0,"OPEN and CLOSE",
Option,100,"BEGIN and COMMIT",
Option,0,"CREATE and EXECUTE",
Option,0,"START and END",

NewQuestion,MC,
QuestionText,"What is the role of a SAVEPOINT in a transaction?",
Option,0,"It restarts a transaction after failure",
Option,0,"It commits a partial transaction",
Option,100,"It allows rollback to a specific intermediate point",
Option,0,"It locks the table for concurrent writes",

NewQuestion,MC,
QuestionText,"Which command explicitly undoes all changes made in the current transaction?",
Option,100,"ROLLBACK",
Option,0,"ABORT",
Option,0,"UNDO",
Option,0,"DELETE",

NewQuestion,MC,
QuestionText,"Why are triggers important in database design?",
Option,0,"They replace user-defined functions",
Option,0,"They automatically generate primary keys",
Option,100,"They automate rule enforcement or auditing upon data changes",
Option,0,"They make schema migrations faster",

NewQuestion,MC,
QuestionText,"What is a common use case for an AFTER INSERT trigger?",
Option,0,"To validate a field before data is written",
Option,0,"To prevent duplicate entries before insertion",
Option,100,"To record the new row in an audit log after it is saved",
Option,0,"To enforce default values before insertion",

NewQuestion,MC,
QuestionText,"Which trigger timing would be used to validate input before a record is committed to the table?",
Option,100,"BEFORE trigger",
Option,0,"AFTER trigger",
Option,0,"DELAYED trigger",
Option,0,"DEFERRED trigger",

NewQuestion,MC,
QuestionText,"In PostgreSQL, what happens if an error occurs during a transaction without an exception handler?",
Option,0,"The transaction continues but logs an error",
Option,100,"The transaction automatically rolls back entirely",
Option,0,"The current statement is skipped but others run",
Option,0,"The database enters read-only mode",

NewQuestion,MC,
QuestionText,"What is the main difference between a function and a procedure in PostgreSQL (since version 11)?",
Option,100,"Procedures can use transaction control commands like COMMIT or ROLLBACK",
Option,0,"Functions are always faster than procedures",
Option,0,"Procedures can return table data directly",
Option,0,"Functions cannot be called from SQL",

NewQuestion,MC,
QuestionText,"In an auditing system, which of the following best describes idempotency in trigger or procedure design?",
Option,0,"Running a trigger multiple times increases accuracy",
Option,100,"Executing the same operation multiple times leaves the database in the same state",
Option,0,"It prevents all updates and deletes automatically",
Option,0,"It ensures triggers always fire once per session",

